 x,     y,    z,     r,    vx,   vz
 0.25, -6.23, 1.30,  0.00, 0.60, 0.5 # darkroom entrance
 0.25, -6.23, 1.30,  0.00, 0.60, 0.5 # darkroom entrance
 4.37, -5.95, 1.30,  0.00, 0.45, 0.5
 8.00, -5.91, 1.30,  0.00, 0.45, 0.5
 8.14,-10.40, 1.30,  0.00, 0.45, 0.5 # darkroom exit
 5.86,-11.18, 1.30,  0.00, 0.60, 0.5
 7.05,-15.16, 1.30,  0.00, 0.60, 0.5
 9.40,-14.34, 1.30,  0.00, 0.60, 0.5
13.57,-11.64, 1.30,  0.00, 0.60, 0.5
19.00,-10.62, 1.30,  0.00, 0.60, 0.5
19.07,-15.46, 1.30,  0.20, 0.60, 0.5
19.07,-16.46, 1.30, -0.20, 0.60, 0.5
19.00,-10.62, 1.30,  0.00, 0.60, 0.5
25.40,-10.62, 1.30,  0.00, 0.60, 0.5
25.40,-15.46, 1.30,  0.20, 0.60, 0.5
25.40,-16.46, 1.30, -0.20, 0.60, 0.5
25.40,-10.62, 1.30,  0.00, 0.60, 0.5
31.80,-10.62, 1.30,  0.00, 0.60, 0.5
31.80,-15.46, 1.30,  0.20, 0.60, 0.5
31.80,-16.46, 1.30, -0.20, 0.60, 0.5
31.80,-10.62, 1.30,  0.00, 0.60, 0.5
31.80,-10.62, 1.30,  0.00, 0.60, -0.4
